Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Compound,TyreLife,TrackStatus
0 days 01:03:16.592000,VER,0 days 00:01:19.660000,1,1,0 days 00:23:48.433000,,SOFT,1,1
0 days 01:04:32.841000,VER,0 days 00:01:16.249000,2,1,,,SOFT,2,2
0 days 01:05:49.364000,VER,0 days 00:01:16.523000,3,1,,,SOFT,3,1
0 days 01:07:06.020000,VER,0 days 00:01:16.656000,4,1,,,SOFT,4,2
0 days 01:08:22.469000,VER,0 days 00:01:16.449000,5,1,,,SOFT,5,1
0 days 01:09:38.819000,VER,0 days 00:01:16.350000,6,1,,,SOFT,6,1
0 days 01:10:55.072000,VER,0 days 00:01:16.253000,7,1,,,SOFT,7,1
0 days 01:12:11.558000,VER,0 days 00:01:16.486000,8,1,,,SOFT,8,1
0 days 01:13:28.068000,VER,0 days 00:01:16.510000,9,1,,,SOFT,9,1
0 days 01:14:44.704000,VER,0 days 00:01:16.636000,10,1,,,SOFT,10,1
0 days 01:16:01.375000,VER,0 days 00:01:16.671000,11,1,,,SOFT,11,1
0 days 01:17:18.073000,VER,0 days 00:01:16.698000,12,1,,,SOFT,12,1
0 days 01:18:34.594000,VER,0 days 00:01:16.521000,13,1,,,SOFT,13,1
0 days 01:19:51.055000,VER,0 days 00:01:16.461000,14,1,,,SOFT,14,1
0 days 01:21:07.574000,VER,0 days 00:01:16.519000,15,1,,,SOFT,15,1
0 days 01:22:24.111000,VER,0 days 00:01:16.537000,16,1,,,SOFT,16,1
0 days 01:23:40.603000,VER,0 days 00:01:16.492000,17,1,,,SOFT,17,1
0 days 01:25:00.031000,VER,0 days 00:01:19.428000,18,1,,0 days 01:24:58.523000,SOFT,18,1
0 days 01:26:34.771000,VER,0 days 00:01:34.740000,19,2,0 days 01:25:18.109000,,MEDIUM,1,1
0 days 01:27:50.675000,VER,0 days 00:01:15.904000,20,2,,,MEDIUM,2,1
0 days 01:29:06.934000,VER,0 days 00:01:16.259000,21,2,,,MEDIUM,3,1
0 days 01:30:22.930000,VER,0 days 00:01:15.996000,22,2,,,MEDIUM,4,1
0 days 01:31:39.094000,VER,0 days 00:01:16.164000,23,2,,,MEDIUM,5,1
0 days 01:32:55.318000,VER,0 days 00:01:16.224000,24,2,,,MEDIUM,6,1
0 days 01:34:11.420000,VER,0 days 00:01:16.102000,25,2,,,MEDIUM,7,1
0 days 01:35:27.503000,VER,0 days 00:01:16.083000,26,2,,,MEDIUM,8,1
0 days 01:36:43.228000,VER,0 days 00:01:15.725000,27,2,,,MEDIUM,9,1
0 days 01:37:59.279000,VER,0 days 00:01:16.051000,28,2,,,MEDIUM,10,1
0 days 01:39:15.406000,VER,0 days 00:01:16.127000,29,2,,,MEDIUM,11,1
0 days 01:40:31.765000,VER,0 days 00:01:16.359000,30,2,,,MEDIUM,12,1
0 days 01:41:48.318000,VER,0 days 00:01:16.553000,31,2,,,MEDIUM,13,1
0 days 01:43:04.645000,VER,0 days 00:01:16.327000,32,2,,,MEDIUM,14,1
0 days 01:44:20.914000,VER,0 days 00:01:16.269000,33,2,,,MEDIUM,15,1
0 days 01:45:37.193000,VER,0 days 00:01:16.279000,34,2,,,MEDIUM,16,1
0 days 01:46:53.527000,VER,0 days 00:01:16.334000,35,2,,,MEDIUM,17,1
0 days 01:48:09.623000,VER,0 days 00:01:16.096000,36,2,,,MEDIUM,18,1
0 days 01:49:25.725000,VER,0 days 00:01:16.102000,37,2,,,MEDIUM,19,1
0 days 01:50:41.844000,VER,0 days 00:01:16.119000,38,2,,,MEDIUM,20,1
0 days 01:51:57.879000,VER,0 days 00:01:16.035000,39,2,,,MEDIUM,21,1
0 days 01:53:13.719000,VER,0 days 00:01:15.840000,40,2,,,MEDIUM,22,1
0 days 01:54:29.816000,VER,0 days 00:01:16.097000,41,2,,,MEDIUM,23,1
0 days 01:55:45.756000,VER,0 days 00:01:15.940000,42,2,,,MEDIUM,24,1
0 days 01:57:02.334000,VER,0 days 00:01:16.578000,43,2,,,MEDIUM,25,1
0 days 01:58:17.990000,VER,0 days 00:01:15.656000,44,2,,,MEDIUM,26,2
0 days 01:59:35.212000,VER,0 days 00:01:17.222000,45,2,,,MEDIUM,27,2
0 days 02:00:50.811000,VER,0 days 00:01:15.599000,46,2,,,MEDIUM,28,1
0 days 02:02:06.567000,VER,0 days 00:01:15.756000,47,2,,,MEDIUM,29,2
0 days 02:03:45.851000,VER,0 days 00:01:39.284000,48,2,,0 days 02:03:44.337000,MEDIUM,30,26
0 days 02:05:47.296000,VER,0 days 00:02:01.445000,49,3,0 days 02:04:03.901000,,HARD,1,6
0 days 02:07:10.522000,VER,0 days 00:01:23.226000,50,3,,,HARD,2,67
0 days 02:08:24.976000,VER,0 days 00:01:14.454000,51,3,,,HARD,3,1
0 days 02:09:39.625000,VER,0 days 00:01:14.649000,52,3,,,HARD,4,1
0 days 02:10:54.070000,VER,0 days 00:01:14.445000,53,3,,,HARD,5,1
0 days 02:12:08.610000,VER,0 days 00:01:14.540000,54,3,,,HARD,6,1
0 days 02:13:23.453000,VER,0 days 00:01:14.843000,55,3,,,HARD,7,2
