year,month,day,MinTemp,MaxTemp,Rainfall
2022,2,13,18.6,29.3,7.2
2022,2,12,20.4,28.9,0
2022,2,11,19.1,31.3,0
2022,2,10,19.4,31.2,0
2022,2,9,18.6,30,0
2022,2,8,18,28.3,0
2022,2,7,19.1,29.2,0.8
2022,2,6,19.2,26.9,0
2022,2,5,18.3,27.4,0
2022,2,4,19.7,28.4,20.6
2022,2,3,24.1,30.7,27.2
2022,2,2,25.3,35.5,0
2022,2,1,24.8,34.7,0
2022,1,31,22.6,32,0
2022,1,30,21.1,31.6,0.2
2022,1,29,21.4,31.2,0.4
2022,1,28,21.5,30.1,3
2022,1,27,22.1,28.4,15.2
2022,1,26,23.2,26.6,2
2022,1,25,21.8,30.5,0
2022,1,24,19.4,29.8,0
2022,1,23,19.3,28.3,2
2022,1,22,19.3,27.7,1.6
2022,1,21,21,28,19.2
2022,1,20,21.7,26.7,
2022,1,19,22.7,32.4,0
2022,1,18,24,31.5,0
2022,1,17,23.5,32.4,
2022,1,16,21.2,31.4,4.2
2022,1,15,19.9,30.7,0
2022,1,14,19.8,29.6,0
2022,1,13,20.4,29.8,0.2
2022,1,12,19.4,29.7,0
2022,1,11,22.6,29.8,0.2
2022,1,10,21.5,30.4,
2022,1,9,23.5,30.3,0.6
2022,1,8,23.7,27.6,9.4
2022,1,7,24.8,28.8,0
2022,1,6,23.2,30,3.8
2022,1,5,23.4,30.3,0.2
2022,1,4,22.9,31.8,0
2022,1,3,20.5,30.2,0
2022,1,2,19.5,27.7,
2022,1,1,20.9,26.6,
2021,12,31,18.9,25.6,0
2021,12,30,17.8,27.7,0
2021,12,29,19.1,26.9,0
2021,12,28,19.6,25.7,14.6
2021,12,27,21.3,28.9,0
2021,12,26,20.8,28.4,7.6
2021,12,25,22.8,30,0
2021,12,24,22.5,31.6,17
2021,12,23,21.2,31.1,0
2021,12,22,22.2,31.5,0
2021,12,21,23.2,32.5,0
2021,12,20,21.7,33.3,0
2021,12,19,19.2,29.7,0
2021,12,18,20.4,29.7,1.6
2021,12,17,20.9,29.8,0
2021,12,16,19.9,31.1,0
2021,12,15,18.7,30.5,0
2021,12,14,19.3,31.1,0
2021,12,13,19.9,27.9,0
2021,12,12,20.4,28.1,0
2021,12,11,17.7,30.1,
2021,12,10,20,31.5,17.8
2021,12,9,19.6,32,
2021,12,8,21.7,29.3,
2021,12,7,20.2,28.4,
2021,12,6,18.6,28.1,
2021,12,5,18.9,27.9,
2021,12,4,20.4,30.1,
2021,12,3,21.2,30.4,
2021,12,2,21.8,29.5,5.2
2021,12,1,20.8,26.7,75.4
2021,11,30,20.5,23,30.2
2021,11,29,21,27,0
2021,11,28,20.8,28.1,0
2021,11,27,21.9,27.7,0.2
2021,11,26,22.8,28.6,9.8
2021,11,25,21.4,26.1,13.2
2021,11,24,20.2,27.5,121
2021,11,23,19.4,26.8,13.2
2021,11,22,19.3,25.9,23.6
2021,11,21,22,27.5,0
2021,11,20,18.4,30.1,0
2021,11,19,16.5,27.8,0
2021,11,18,19.4,25.9,0.6
2021,11,17,19.7,26.2,0
2021,11,16,16.3,29.4,0
2021,11,15,12.8,30.5,0
2021,11,14,12.1,28.3,0
2021,11,13,17.2,27.4,0.2
2021,11,12,22.9,29.5,26.6
2021,11,11,23.4,31.4,2.4
2021,11,10,22.9,29.5,0
2021,11,9,21.9,29.1,2.4
2021,11,8,20.8,28.4,12.6
2021,11,7,20.3,27.2,0
2021,11,6,17.7,25.3,1.2
2021,11,5,17.4,25.3,0
2021,11,4,14.6,25.3,0
2021,11,3,17.2,24.3,0.2
2021,11,2,17.6,25.4,0
2021,11,1,16,24.1,0
